year,matric ,fsc,et,deduction,merit,Eligibility
2017,29,29,15,2,72.618,1
2017,29,29,15,2,72.582,1
2017,29,29,15,2,72.565,1
2018,28,28,14,0,70.509,1
2018,28,28,14,0,70.455,1
2018,28,28,14,0,70.255,1
2018,28,28,14,0,70.236,1
2018,28,28,14,0,70.218,1
2018,28,28,14,0,70.186,1
2017,29,29,14,2,72.179,1
2018,28,28,14,0,70.164,1
2016,30,30,15,4,74.092,1
2018,28,28,14,0,70.091,1
2017,29,29,14,2,72.091,1
2018,28,28,14,0,70.018,1
2017,29,29,14,2,71.964,1
2018,28,28,14,0,69.964,1
2017,29,29,14,2,71.945,1
2018,28,28,14,0,69.909,1
2018,28,28,14,0,69.909,1
2018,28,28,14,0,69.873,1
2015,30,30,15,6,75.853,1
2018,28,28,14,0,69.8,1
2018,28,28,14,0,69.691,1
2018,28,28,14,0,69.673,1
2018,28,28,14,0,69.564,1
2018,28,28,14,0,69.473,1
2018,28,28,14,0,69.436,1
2018,28,28,14,0,69.255,1
2018,28,28,14,0,69.255,1
2018,28,28,14,0,69.218,1
2018,28,28,14,0,69.164,1
2018,28,28,14,0,69.145,1
2018,28,28,14,0,69.127,1
2018,28,28,14,0,69.055,1
2018,28,28,14,0,69.055,1
2018,28,28,14,0,69.018,1
2018,28,28,14,0,69.009,1
2018,28,28,14,0,68.991,1
2018,28,28,14,0,68.964,1
2018,28,28,14,0,68.964,1
2018,28,28,14,0,68.881,1
2016,29,29,15,4,72.857,1
2018,28,28,14,0,68.782,1
2016,29,29,15,4,72.771,1
2018,27,27,14,0,68.715,1
2018,27,27,14,0,68.691,1
2018,27,27,14,0,68.623,1
2017,28,28,14,2,70.6,1
2018,27,27,14,0,68.582,1
2018,27,27,14,0,68.436,1
2018,27,27,14,0,68.409,1
2018,27,27,14,0,68.364,1
2018,27,27,14,0,68.327,1
2018,27,27,14,0,68.327,1
2017,28,28,14,2,70.273,1
2018,27,27,14,0,68.273,1
2018,27,27,14,0,68.256,1
2018,27,27,14,0,68.236,1
2018,27,27,14,0,68.182,1
2018,27,27,14,0,68.164,1
2018,27,27,14,0,68.145,1
2017,28,28,14,2,70.127,1
2018,27,27,14,0,68.127,1
2017,28,28,14,2,70.092,1
2018,27,27,14,0,68.091,1
2018,27,27,14,0,68.055,1
2017,28,28,14,2,70.055,1
2018,27,27,14,0,68.055,1
2018,27,27,14,0,68.02,1
2017,28,28,14,2,69.927,1
2018,27,27,14,0,67.873,1
2018,27,27,14,0,67.836,1
2018,27,27,14,0,67.709,1
2016,29,29,14,4,71.688,1
2018,27,27,14,0,67.673,1
2016,29,29,14,4,71.655,1
2017,28,28,14,2,69.636,1
2018,27,27,14,0,67.636,1
2017,28,28,14,2,69.6,1
2108,27,27,14,0,67.578,1
2017,28,28,14,2,69.527,1
2018,27,27,14,0,67.509,1
2018,27,27,14,0,67.509,1
2018,27,27,14,0,67.509,1
2018,27,27,13,0,67.486,1
2018,27,27,13,0,67.4,1
2017,28,28,14,2,69.342,1
2016,29,29,14,4,71.327,1
2018,27,27,13,0,67.182,1
2017,28,28,14,2,69.182,1
2018,27,27,13,0,67.145,1
2017,28,28,14,2,69.099,1
2017,28,28,14,2,69.091,1
2018,27,27,13,0,67.073,1
2017,28,28,14,2,69.036,1
2018,27,27,13,0,66.964,1
2018,27,27,13,0,66.964,1
2018,27,27,13,0,66.927,1
2017,28,28,14,2,68.917,1
2017,28,28,14,2,68.891,1
2018,27,27,13,0,66.873,1
2018,27,27,13,0,66.873,1
2017,28,28,14,2,68.873,1
2018,27,27,13,0,66.855,1
2017,27,27,14,2,68.722,1
2014,30,30,15,8,74.661,1
2018,27,27,13,0,66.655,1
2017,27,27,14,2,68.618,1
2018,27,27,13,0,66.582,1
2018,27,27,13,0,66.564,1
2018,27,27,13,0,66.564,1
2018,27,27,13,0,66.545,1
2018,27,27,13,0,66.545,1
2017,27,27,14,2,68.545,1
2018,27,27,13,0,66.527,1
2018,27,27,13,0,66.527,1
2018,27,27,13,0,66.491,1
2018,27,27,13,0,66.455,1
2018,27,27,13,0,66.4,1
2017,27,27,14,2,68.382,1
2018,27,27,13,0,66.345,1
2017,27,27,14,2,68.34,1
2018,27,27,13,0,66.309,1
2018,27,27,13,0,66.255,1
2018,27,27,13,0,66.255,1
2017,27,27,14,2,68.242,1
2018,26,26,13,0,66.236,1
2018,26,26,13,0,66.218,1
2017,27,27,14,2,68.164,1
2017,27,27,14,2,68.073,1
2017,27,27,14,2,68.072,1
2018,26,26,13,0,66.036,1
2017,27,27,14,2,68,1
2018,26,26,13,0,65.982,1
2015,29,29,14,6,71.963,1
2016,28,28,14,4,69.953,1
2017,27,27,14,2,67.945,1
2017,27,27,14,2,67.945,1
2018,26,26,13,0,65.891,1
2018,26,26,13,0,65.836,1
2017,27,27,14,2,67.8,1
2018,26,26,13,0,65.8,1
2017,27,27,14,2,67.764,1
2018,26,26,13,0,65.691,1
2018,26,26,13,0,65.673,1
2018,26,26,13,0,65.655,1
2016,28,28,14,4,69.615,1
2018,26,26,13,0,65.564,1
2018,26,26,13,0,65.545,1
2017,27,27,14,2,67.527,1
2018,26,26,13,0,65.509,1
2018,26,26,13,0,65.509,1
2018,26,26,13,0,65.491,1
2018,26,26,13,0,65.473,1
2016,28,28,14,4,69.455,1
2018,26,26,13,0,65.436,1
2018,26,26,13,0,65.41,1
2018,26,26,13,0,65.4,1
2018,26,26,13,0,65.291,1
2017,27,27,13,2,67.256,1
2017,27,27,13,2,67.255,1
2018,26,26,13,0,65.218,1
2018,26,26,13,0,65.2,1
2018,26,26,13,0,65.182,1
2018,26,26,13,0,65,1
2018,26,26,13,0,64.945,1
2018,26,26,13,0,64.927,1
2018,26,26,13,0,64.898,1
2018,26,26,13,0,64.855,1
2018,26,26,13,0,64.745,1
2018,26,26,13,0,64.727,1
2017,27,27,13,2,66.704,1
2018,26,26,13,0,64.691,1
2018,26,26,13,0,64.61,1
2016,27,27,14,4,68.545,1
2018,26,26,13,0,64.532,1
2016,27,27,14,4,68.477,1
2018,26,26,13,0,64.455,1
2018,26,26,13,0,64.418,1
2018,26,26,13,0,64.345,1
2018,26,26,13,0,64.345,1
2018,26,26,13,0,64.309,1
2018,26,26,13,0,64.2,1
2018,26,26,13,0,64.164,1
2017,26,26,13,2,66.145,1
2018,26,26,13,0,64.091,1
2018,26,26,13,0,64.073,1
2018,26,26,13,0,64.055,1
2018,26,26,13,0,64.036,1
2013,30,30,15,10,74,1
2017,26,26,13,2,65.889,1
2018,26,26,13,0,63.818,1
2017,26,26,13,2,65.8,1
2018,25,25,13,0,63.706,1
2018,25,25,13,0,63.6,1
2018,25,25,13,0,63.545,1
2018,25,25,13,0,63.491,1
2018,25,25,13,0,63.436,1
2018,25,25,13,0,63.4,1
2018,25,25,13,0,63.327,1
2018,25,25,13,0,63.291,1
2018,25,25,13,0,63.273,1
2018,25,25,13,0,63.273,1
2018,25,25,13,0,63.218,1
2018,25,25,13,0,63.164,1
2018,25,25,13,0,63.145,1
2018,25,25,13,0,63.091,1
2018,25,25,13,0,63.073,1
2018,25,25,13,0,63.073,1
2018,25,25,13,0,62.945,1
2018,25,25,13,0,62.836,1
2018,25,25,13,0,62.818,1
2018,25,25,13,0,62.764,1
2018,25,25,13,0,62.745,1
2018,25,25,13,0,62.709,1
2018,25,25,13,0,62.673,1
2018,25,25,13,0,62.655,1
2018,25,25,13,0,62.618,1
2018,25,25,13,0,62.564,1
2018,25,25,13,0,62.509,1
2017,26,26,13,2,64.4,1
2018,25,25,12,0,62.327,1
2017,26,26,13,2,64.218,1
2017,26,26,13,2,64.218,1
2018,25,25,12,0,62.2,1
2018,25,25,12,0,62.2,1
2017,26,26,13,2,64.164,1
2018,25,25,12,0,62.145,1
2018,25,25,12,0,62.145,1
2018,25,25,12,0,62.145,1
2018,25,25,12,0,62.11,1
2018,25,25,12,0,62.055,1
2018,25,25,12,0,62.036,1
2018,25,25,12,0,61.982,1
2017,26,26,13,2,63.982,1
2017,26,26,13,2,63.964,1
2018,25,25,12,0,61.909,1
2018,25,25,12,0,61.909,1
2016,26,26,13,4,65.8,1
2018,25,25,12,0,61.709,1
2017,25,25,13,2,63.709,1
2018,25,25,12,0,61.673,1
2018,25,25,12,0,61.527,1
2016,25,25,13,2,63.468,1
2018,25,25,12,0,61.4,1
2018,25,25,12,0,61.382,1
2018,25,25,12,0,61.364,1
2018,25,25,12,0,61.327,1
2018,25,25,12,0,61.273,1
2018,25,25,12,0,61.273,1
2018,25,25,12,0,61.273,1
2018,24,24,12,0,61.236,1
2018,24,24,12,0,61.073,1
2018,24,24,12,0,61.018,1
2018,24,24,12,0,61,1
2018,24,24,12,0,60.964,1
2018,24,24,12,0,60.964,1
2018,24,24,12,0,60.964,1
2018,24,24,12,0,60.873,1
2018,24,24,12,0,60.855,1
2018,24,24,12,0,60.855,1
2018,24,24,12,0,60.818,1
2017,25,25,13,2,62.764,1
2018,24,24,12,0,60.764,1
2017,25,25,13,2,62.745,1
2018,24,24,12,0,60.727,1
2018,24,24,12,0,60.709,1
2018,24,24,12,0,60.655,1
2018,24,24,12,0,60.582,1
2018,24,24,12,0,60.582,1
2018,24,24,12,0,60.564,1
2018,24,24,12,0,60.545,1
2018,24,24,12,0,60.527,1
2018,24,24,12,0,60.527,1
2017,25,25,13,2,62.509,1
2017,25,25,12,2,62.356,1
2018,24,24,12,0,60.309,1
2018,24,24,12,0,60.273,1
2017,25,25,12,2,62.255,1
2018,24,24,12,0,60.236,1
2018,24,24,12,0,60.164,1
2014,27,27,14,8,68.137,1
2016,26,26,13,4,64.128,1
2018,24,24,12,0,60.127,1
2018,24,24,12,0,60.073,1
2018,24,24,12,0,60.036,1
2018,24,24,12,0,60.018,1
2018,24,24,12,0,59.982,0
2018,24,24,12,0,59.945,0
2018,24,24,12,0,59.927,0
2017,25,25,12,2,61.909,1
2018,24,24,12,0,59.873,0
2018,24,24,12,0,59.836,0
2018,24,24,12,0,59.8,0
2015,26,26,13,6,65.761,1
2018,24,24,12,0,59.709,0
2018,24,24,12,0,59.709,0
2018,24,24,12,0,59.706,0
2018,24,24,12,0,59.636,0
2018,24,24,12,0,59.582,0
2018,24,24,12,0,59.582,0
2018,24,24,12,0,59.564,0
2018,24,24,12,0,59.527,0
2017,25,25,12,2,61.491,1
2018,24,24,12,0,59.319,0
2018,24,24,12,0,59.236,0
2018,24,24,12,0,59.218,0
2017,24,24,12,2,61.153,1
2018,24,24,12,0,59.145,0
2018,24,24,12,0,59.127,0
2018,24,24,12,0,59.127,0
2018,24,24,12,0,59.018,0
2018,24,24,12,0,58.982,0
2018,24,24,12,0,58.964,0
2018,24,24,12,0,58.873,0
2017,24,24,12,2,60.873,1
2018,24,24,12,0,58.818,0
2018,24,24,12,0,58.818,0
2018,23,23,12,0,58.745,0
2018,23,23,12,0,58.582,0
2018,23,23,12,0,58.509,0
2018,23,23,12,0,58.473,0
2017,24,24,12,2,60.473,1
2018,23,23,12,0,58.455,0
2018,23,23,12,0,58.309,0
2018,23,23,12,0,58.309,0
2018,23,23,12,0,58.309,0
2017,24,24,12,2,60.2,1
2018,23,23,12,0,58.091,0
2018,23,23,12,0,58.055,0
2017,24,24,12,2,60.018,1
