University ,Department,Year of passing ,Matric,Fsc ,ET,Deduction,Merit In %age,Eligibility
1,10,2018,20,20,10,0,49.9,0
1,10,2016,22,22,11,4,53.8,0
1,10,2017,21,21,10,2,51.5,0
1,10,2017,21,21,10,2,51.4,0
1,10,2017,20,20,10,0,49.4,0
1,10,2018,20,20,10,0,49.3,0
1,10,2017,20,20,10,2,51.1,0
1,10,2018,20,20,10,0,48.8,0
1,10,2018,19,19,10,0,48.7,0
1,10,2016,21,21,11,4,52.6,0
1,10,2018,19,19,10,0,48.6,0
1,10,2018,19,19,10,0,48.2,0
1,10,2018,19,19,10,0,48.1,0
1,10,2018,19,19,10,0,48.1,0
1,10,2018,19,19,10,0,47.9,0
1,10,2018,19,19,10,0,47.7,0
1,10,2018,19,19,9,0,47.4,0
1,10,2016,20,20,10,4,50.8,0
1,10,2018,19,19,9,0,46.8,0
1,10,2018,18,18,9,0,46.2,0
1,10,2005,18,18,9,0,46.2,0
1,10,2014,22,22,11,8,54.1,0
