University ,Department,Year of passing ,Matric,Fsc ,ET,Deduction,Merit In %age,Eligibility
1,10,2017,30,30,15,2,74.3,1
1,10,2018,29,29,14,0,72.2,1
1,10,2017,30,30,15,2,74,1
1,10,2018,29,29,14,0,72,1
1,10,2018,29,29,14,0,71.9,1
1,10,2018,29,29,14,0,71.9,1
1,10,2018,29,29,14,0,71.8,1
1,10,2018,29,29,14,0,71.8,1
1,10,2018,29,29,14,0,71.7,1
1,10,2018,29,29,14,0,71.6,1
1,10,2018,29,29,14,0,71.5,1
1,10,2018,29,29,14,0,71.5,1
1,10,2018,29,29,14,0,71.5,1
1,10,2018,29,29,14,0,71.4,1
1,10,2018,29,29,14,0,71.4,1
1,10,2018,29,29,14,0,71.4,1
1,10,2018,29,29,14,0,71.3,1
1,10,2017,29,29,15,2,73.3,1
1,10,2017,29,29,15,2,73.2,1
1,10,2018,28,28,14,0,71.2,1
1,10,2018,28,28,14,0,71.2,1
1,10,2018,28,28,14,0,71.2,1
1,10,2018,28,28,14,0,71.1,1
1,10,2016,30,30,15,4,75.1,1
1,10,2017,29,29,15,2,73.1,1
1,10,2017,29,29,15,2,73,1
1,10,2018,28,28,14,0,71,1
1,10,2018,28,28,14,0,70.9,1
1,10,2017,29,29,15,2,72.9,1
1,10,2018,28,28,14,0,70.9,1
1,10,2018,28,28,14,0,70.9,1
1,10,2018,28,28,14,0,70.8,1
1,10,2016,30,30,15,4,74.8,1
1,10,2018,28,28,14,0,70.7,1
1,10,2018,28,28,14,0,70.7,1
1,10,2016,30,30,15,4,74.6,1
1,10,2017,29,29,15,2,72.6,1
1,10,2017,29,29,15,2,72.6,1
1,10,2017,29,29,15,2,72.6,1
1,10,2018,28,28,14,0,70.5,1
1,10,2018,28,28,14,0,70.5,1
1,10,2018,28,28,14,0,70.3,1
1,10,2018,28,28,14,0,70.2,1
1,10,2018,28,28,14,0,70.2,1
1,10,2018,28,28,14,0,70.2,1
1,10,2017,29,29,14,2,72.2,1
1,10,2018,28,28,14,0,70.2,1
1,10,2016,30,30,15,4,74.1,1
1,10,2018,28,28,14,0,70.1,1
1,10,2017,29,29,14,2,72.1,1
1,10,2018,28,28,14,0,70,1
1,10,2017,29,29,14,2,72,1
1,10,2018,28,28,14,0,70,1
1,10,2017,29,29,14,2,71.9,1
1,10,2018,28,28,14,0,69.9,1
1,10,2018,28,28,14,0,69.9,1
1,10,2018,28,28,14,0,69.9,1
1,10,2015,30,30,15,6,75.9,1
1,10,2018,28,28,14,0,69.8,1
1,10,2018,28,28,14,0,69.7,1
1,10,2018,28,28,14,0,69.7,1
1,10,2018,28,28,14,0,69.6,1
1,10,2018,28,28,14,0,69.5,1
1,10,2018,28,28,14,0,69.4,1
1,10,2018,28,28,14,0,69.3,1
1,10,2018,28,28,14,0,69.3,1
1,10,2018,28,28,14,0,69.2,1
1,10,2018,28,28,14,0,69.2,1
1,10,2018,28,28,14,0,69.1,1
1,10,2018,28,28,14,0,69.1,1
1,10,2018,28,28,14,0,69.1,1
1,10,2018,28,28,14,0,69.1,1
1,10,2018,28,28,14,0,69,1
1,10,2018,28,28,14,0,69,1
1,10,2018,28,28,14,0,69,1
1,10,2018,28,28,14,0,69,1
1,10,2018,28,28,14,0,69,1
1,10,2018,28,28,14,0,68.9,1
1,10,2016,29,29,15,4,72.9,1
1,10,2018,28,28,14,0,68.8,1
1,10,2016,29,29,15,4,72.8,1
1,10,2018,27,27,14,0,68.7,1
1,10,2018,27,27,14,0,68.7,1
1,10,2018,27,27,14,0,68.6,1
1,10,2017,28,28,14,2,70.6,1
1,10,2018,27,27,14,0,68.6,1
1,10,2018,27,27,14,0,68.4,1
1,10,2018,27,27,14,0,68.4,1
1,10,2018,27,27,14,0,68.4,1
1,10,2018,27,27,14,0,68.3,1
1,10,2018,27,27,14,0,68.3,1
1,10,2017,28,28,14,2,70.3,1
1,10,2018,27,27,14,0,68.3,1
1,10,2018,27,27,14,0,68.3,1
1,10,2018,27,27,14,0,68.2,1
1,10,2018,27,27,14,0,68.2,1
1,10,2018,27,27,14,0,68.2,1
1,10,2018,27,27,14,0,68.1,1
1,10,2017,28,28,14,2,70.1,1
1,10,2018,27,27,14,0,68.1,1
1,10,2017,28,28,14,2,70.1,1
1,10,2018,27,27,14,0,68.1,1
1,10,2018,27,27,14,0,68.1,1
1,10,2017,28,28,14,2,70.1,1
1,10,2018,27,27,14,0,68.1,1
1,10,2018,27,27,14,0,68,1
1,10,2017,28,28,14,2,69.9,1
1,10,2018,27,27,14,0,67.9,1
1,10,2018,27,27,14,0,67.8,1
1,10,2018,27,27,14,0,67.7,1
1,10,2016,29,29,14,4,71.7,1
1,10,2018,27,27,14,0,67.7,1
1,10,2016,29,29,14,4,71.7,1
1,10,2017,28,28,14,2,69.6,1
1,10,2018,27,27,14,0,67.6,1
1,10,2017,28,28,14,2,69.6,1
1,10,2108,27,27,14,0,67.6,1
1,10,2017,28,28,14,2,69.5,1
1,10,2018,27,27,14,0,67.5,1
1,10,2018,27,27,14,0,67.5,1
1,10,2018,27,27,14,0,67.5,1
1,10,2018,27,27,13,0,67.5,1
1,10,2018,27,27,13,0,67.4,1
1,10,2017,28,28,14,2,69.3,1
1,10,2016,29,29,14,4,71.3,1
1,10,2018,27,27,13,0,67.2,1
1,10,2017,28,28,14,2,69.2,1
1,10,2018,27,27,13,0,67.1,1
1,10,2017,28,28,14,2,69.1,1
1,10,2017,28,28,14,2,69.1,1
1,10,2018,27,27,13,0,67.1,1
1,10,2017,28,28,14,2,69,1
1,10,2018,27,27,13,0,67,1
1,10,2018,27,27,13,0,67,1
1,10,2018,27,27,13,0,66.9,1
1,10,2017,28,28,14,2,68.9,1
1,10,2017,28,28,14,2,68.9,1
1,10,2018,27,27,13,0,66.9,1
1,10,2018,27,27,13,0,66.9,1
1,10,2017,28,28,14,2,68.9,1
1,10,2018,27,27,13,0,66.9,1
1,10,2017,27,27,14,2,68.7,1
1,10,2014,30,30,15,8,74.7,1
1,10,2018,27,27,13,,66.7,1
1,10,2017,27,27,14,2,68.6,1
1,10,2018,27,27,13,0,66.6,1
1,10,2018,27,27,13,0,66.6,1
1,10,2018,27,27,13,0,66.6,1
1,10,2018,27,27,13,0,66.5,1
1,10,2018,27,27,13,0,66.5,1
1,10,2017,27,27,14,2,68.5,1
1,10,2018,27,27,13,0,66.5,1
1,10,2018,27,27,13,0,66.5,1
1,10,2018,27,27,13,0,66.5,1
1,10,2018,27,27,13,0,66.5,1
1,10,2018,27,27,13,0,66.4,1
1,10,2017,27,27,14,2,68.4,1
1,10,2018,27,27,13,0,66.3,1
1,10,2017,27,27,14,2,68.3,1
1,10,2018,27,27,13,0,66.3,1
1,10,2018,27,27,13,0,66.3,1
1,10,2018,27,27,13,0,66.3,1
1,10,2017,27,27,14,2,68.2,1
1,10,2018,26,26,13,0,66.2,1
1,10,2018,26,26,13,0,66.2,1
1,10,2017,27,27,14,2,68.2,1
1,10,2017,27,27,14,2,68.1,1
1,10,2017,27,27,14,2,68.1,1
1,10,2018,26,26,13,0,66,1
1,10,2017,27,27,14,2,68,1
1,10,2018,26,26,13,0,66,1
1,10,2015,29,29,14,6,72,1
1,10,2016,28,28,14,4,70,1
1,10,2017,27,27,14,2,67.9,1
1,10,2017,27,27,14,2,67.9,1
1,10,2018,26,26,13,0,65.9,1
1,10,2018,26,26,13,0,65.8,1
1,10,2017,27,27,14,2,67.8,1
1,10,2018,26,26,13,0,65.8,1
1,10,2017,27,27,14,2,67.8,1
1,10,2018,26,26,13,0,65.7,1
1,10,2018,26,26,13,0,65.7,1
1,10,2018,26,26,13,,65.7,1
1,10,2016,28,28,14,4,69.6,1
1,10,2018,26,26,13,0,65.6,1
1,10,2018,26,26,13,0,65.5,1
1,10,2017,27,27,14,2,67.5,1
1,10,2018,26,26,13,0,65.5,1
1,10,2018,26,26,13,0,65.5,1
1,10,2018,26,26,13,0,65.5,1
1,10,2018,26,26,13,0,65.5,1
1,10,2016,28,28,14,4,69.5,1
